0.90   6.3370  -0.0022  3.6436  3.923  6.3251  813.2874  0.1244
0.90   6.4987  -0.1200  3.6418  4.034  7.0985  485.3311  0.0163
0.90   6.6654  -0.2374  3.6397  4.143  7.0860  379.5373  0.0130
0.90   6.8405  -0.3498  3.6384  4.250  7.0140  303.0423  0.0119
0.90   7.0031  -0.4344  3.6397  4.340  6.9298  245.3989  0.0114
0.90   7.1485  -0.4792  3.6454  4.407  6.8397  195.2925  0.0114
0.90   7.2750  -0.4730  3.6580  4.451  6.7294  147.8041  0.0123
0.90   7.3777  -0.4119  3.6788  4.474  6.6191  113.2678  0.0138
0.90   7.4618  -0.3264  3.7030  4.485  6.4850   84.5376  0.0165
0.90   7.5383  -0.2531  3.7250  4.499  6.3493   63.3269  0.0197
0.90   7.6376  -0.3316  3.7269  4.586  6.2963   54.8820  0.0170
0.90   8.6901  -0.3509  3.7241  4.593  6.3307   56.9894  0.0472
0.90   9.2613  -0.3228  3.7272  4.578  6.2984   57.0572  0.5463
0.90   9.4981  -0.2962  3.7299  4.562  6.3010   57.8694  0.8361
0.90   9.6491  -0.2684  3.7325  4.545  6.3042   54.6446  1.0526
0.90   9.7597  -0.2390  3.7351  4.526  6.2722   52.9069  1.3440
0.90   9.8468  -0.2078  3.7376  4.504  6.2758   52.4461  1.5332
0.90   9.9182  -0.1747  3.7399  4.481  6.2799   51.9667  1.7196
0.90   9.9789  -0.1393  3.7420  4.454  6.2486   51.0451  2.0796
0.90  10.0331  -0.0996  3.7439  4.422  6.2523   50.7644  2.3315
0.90  10.0848  -0.0520  3.7454  4.380  6.2559   50.3227  2.6763
0.90  10.1320   0.0019  3.7459  4.328  6.2567   52.9438  3.1938
