1.20   6.0476   0.4032  3.6645  3.726  5.5504  794.6278  1.3921
1.20   6.2237   0.2783  3.6655  3.855  7.1101  492.1882  0.0286
1.20   6.4058   0.1540  3.6660  3.981  7.0871  372.8403  0.0224
1.20   6.5825   0.0457  3.6673  4.095  7.0105  291.6394  0.0202
1.20   6.7427  -0.0300  3.6712  4.186  6.9097  229.5711  0.0199
1.20   6.8842  -0.0613  3.6799  4.252  6.8128  178.7479  0.0201
1.20   7.0039  -0.0387  3.6949  4.290  6.6916  138.5417  0.0223
1.20   7.0964   0.0323  3.7141  4.295  6.5752  102.3744  0.0259
1.20   7.1665   0.1355  3.7345  4.274  6.3984   75.3902  0.0360
1.20   7.2199   0.2496  3.7543  4.239  6.2329   48.2669  0.0497
1.20   7.2619   0.3415  3.7717  4.217  6.0023   28.4184  0.0764
1.20   7.3007   0.3688  3.7854  4.244  5.7840   16.5888  0.1032
1.20   7.3513   0.2624  3.7880  4.361  5.7722   16.2550  0.0734
1.20   7.5158   0.2078  3.7850  4.403  5.8589   18.6377  0.0554
1.20   8.5877   0.2530  3.7930  4.390  5.6798   13.8573  0.1326
1.20   8.9200   0.2803  3.7955  4.373  5.6670   12.7691  0.2377
1.20   9.0931   0.3033  3.7969  4.356  5.6006   11.4733  0.5654
1.20   9.2084   0.3243  3.7976  4.337  5.5721   11.0645  1.3422
1.20   9.2925   0.3437  3.7979  4.319  5.5824   10.4291  1.9805
1.20   9.3563   0.3613  3.7979  4.302  5.5481   10.1591  2.6801
1.20   9.4055   0.3765  3.7976  4.285  5.5521    9.9374  3.1058
1.20   9.4425   0.3892  3.7971  4.271  5.5534   10.5149  3.4648
